Genus	Species	Subspecies	Ploidy Level (x)	DNA Amount1C (pg)	Original Reference
Phaseolus	xolocotzii	sp. nov. ined.	2	0.7	Kenton and Owens,1988
Phaseolus	neglectus		2	0.7	Kenton and Owens,1988
Phaseolus	lunatus		2	0.7	Kenton and Owens,1988
Phaseolus	pauciflorus		2	0.7	Kenton and Owens,1988
Phaseolus	marechalii		2	0.7	Kenton and Owens,1988
Phaseolus	polyanthus		2	0.7	Kenton and Owens,1988
Phaseolus	acutifolius		2	0.8	Kenton and Owens,1988
Phaseolus	glabellus		2	0.9	Kenton and Owens,1988
Phaseolus	grayanus		2	0.95	Nagl and Treviranus,1995
Phaseolus	pluriflorus		2	0.9	Kenton and Owens,1988
Phaseolus	lathyroides		2	1.1	Ayonoadu,1974
Phaseolus	geophillus		2	1.3	Ayonoadu,1974
Phaseolus	angularis		2	1.4	Ayonoadu,1974
Phaseolus	leucanthus		2	1.6	Ayonoadu,1974
Phaseolus	dumosus		2	1.9	Ayonoadu,1974
Phoenix	canariensis	NA	2	0.9	Suda et al.,2005
Phoenix	dactylifera	NA	2	1	Olszewska and Osiecka,1982
Phoenix	theophrasti	NA	2	1.3	Röser et al.,1997
Phoenix	rupicola	NA	2	1.5	Röser et al.,1997
Phoenix	roebelenii	NA	2	1.5	Röser et al.,1997
Phragmites	communis	NA	-	1.13	Zonneveld et al.,2005
Phragmites	australis	NA	4	2	Meyerson et al.,2016
Phragmites	australis	NA	8	4.01	Meyerson et al.,2016
Phyllostachys	glauca		-	2.28	Kumar et al.,2011
Phyllostachys	aureus		-	2.3	Bharathan et al.,1994
Phyllostachys	pubescens		-	2.33	Kumar et al.,2011
Phyllostachys	viridiglaucescens		-	2.37	Kumar et al.,2011
Phyllostachys	nigra	var. henonis	-	2.7	Hanson et al.,1999
Physaria	gracilis	NA	-	0.26	Lysák et al.,2009
Physaria	ovalifolia	NA	-	0.43	Lysák et al.,2009
Physaria	arctica	NA	-	0.69	Lysák et al.,2009
Physaria	didymocarpa	NA	-	2.23	Lysák et al.,2009
Physaria	bellii	NA	-	2.34	Lysák et al.,2009
Picea	glauca		2	16.15	Bai et al.,2012
Picea	omorika		2	16.9	Siljak-Yakovlev et al.,2002
Picea	mariana		-	17.45	Bai et al.,2012
Picea	pungens	f. glauca	2	18.15	Greilhuber,1988
Picea	orientalis		2	18.6	Ohri and Khoshoo,1986
Picea	engelmannii		2	19.45	Teoh and Rees,1976
Picea	abies		2	20.01	Fuchs et al.,2008
Picochlorum	maculatum	NA	-	0.01	Yamamoto et al.,2001
Picochlorum	eukaryotum	NA	-	0.02	Yamamoto et al.,2001
Picochlorum	atomus	NA	-	0.05	Yamamoto et al.,2001
Pinus	divaricata		2	17.25	Ohri and Khoshoo,1986
Pinus	contorta	'Latifolia'	-	19.45	Zonneveld,2012
Pinus	mugo		2	20.15	Greilhuber,1986
Pinus	virginiana		2	20.35	Zonneveld,2012
Pinus	tecunumanii		2	20.49	Hall et al.,2000
Pinus	greggii		-	20.68	Hall et al.,2000
Pinus	glabra		2	20.9	Joyner et al.,2001
Pinus	pseudostrobus		2	21.35	O'Brien et al.,1996
Pinus	serotina		2	21.5	Wakamiya et al.,1993
Pinus	brutia		-	21.67	Bou Dagher-Kharrat et al.,2013
Pinus	oocarpa		2	21.74	Hall et al.,2000
Pinus	jaliscana		-	21.78	Hall et al.,2000
Pinus	patula		2	21.92	Hall et al.,2000
Pinus	banksiana		2	21.98	Grotkopp et al.,2004
Pinus	taeda		2	22.1	O'Brien et al.,1996
Pinus	contorta	ssp. contorta	2	22.1	Grotkopp et al.,2004
Pinus	clausa		2	22.1	Wakamiya et al.,1993
Pinus	nigra	subsp. dalmatica (Vis.) Franco	2	22.25	Bogunic et al.,2003
Pinus	pringlei		-	22.34	Hall et al.,2000
Pinus	elliottii		2	22.61	Williams et al.,2002
Pinus	caribaea		2	22.65	Zonneveld,2012
Pinus	echinata		2	22.75	Wakamiya et al.,1993
Pinus	sylvestris		2	22.98	Fuchs et al.,2008
Pinus	nigra		2	23.62	Bogunic et al.,2007
Pinus	contorta	ssp. murrayana	2	23.63	Grotkopp et al.,2004
Pinus	resinosa		-	23.8	Joyner et al.,2001
Pinus	maritima		2	24.05	Ohri and Khoshoo,1986
Pinus	palustris		2	24.05	Wakamiya et al.,1993
Pinus	excelsa		2	24.1	Ohri and Khoshoo,1986
Pinus	rigida		2	24.15	Grotkopp et al.,2004
Pinus	ponderosa		2	24.2	O'Brien et al.,1996
Pinus	radiata		2	24.25	Zonneveld,2012
Pinus	taiwanensis		-	24.3	Joyner et al.,2001
Pinus	halepensis		-	24.55	Pellicer et al.,2010
Pinus	herrerae		2	24.6	Grotkopp et al.,2004
Pinus	leiophylla	var. leiophylla	2	24.83	Grotkopp et al.,2004
Pinus	densiflora		-	25.05	Zonneveld,2012
Pinus	attenuata		2	25.05	Wakamiya et al.,1993
Pinus	laricio		2	25.35	Lin et al.,1988
Pinus	muricata		2	25.37	Grotkopp et al.,2004
Pinus	thunbergii	'Maijita'	-	25.4	Zonneveld,2012
Pinus	strobus		2	25.65	O'Brien et al.,1996
Pinus	massoniana		-	25.7	Zonneveld,2012
Pinus	kesiya		-	25.7	Joyner et al.,2001
Pinus	tabulaeformis		-	25.7	Joyner et al.,2001
Pinus	arizonica		2	26.17	Grotkopp et al.,2004
Pinus	longaeva		-	26.25	Zonneveld,2012
Pinus	wallichiana		2	26.3	Joyner et al.,2001
Pinus	culminicola		-	26.4	Joyner et al.,2001
Pinus	durangensis		2	26.54	Grotkopp et al.,2004
Pinus	engelmannii		2	26.56	Grotkopp et al.,2004
Pinus	montezumae		2	26.7	O'Brien et al.,1996
Pinus	washoensis		2	26.75	Grotkopp et al.,2004
Pinus	albicaulis		-	27.2	Joyner et al.,2001
Pinus	pumila		-	27.4	Joyner et al.,2001
Pinus	peuce		2	27.47	Bogunic et al.,2003
Pinus	devoniana		2	27.68	Grotkopp et al.,2004
Pinus	jeffreyi		2	27.7	Wakamiya et al.,1993
Pinus	parviflora		-	28.1	Joyner et al.,2001
Pinus	koraiensis		2	28.2	Joyner et al.,2001
Pinus	pinea		-	28.4	Zonneveld,2011
Pinus	pinaster		-	28.9	Zonneveld,2012
Pinus	torreyana		2	29.05	Wakamiya et al.,1993
Pinus	aristata		2	29.12	Grotkopp et al.,2004
Pinus	lambertiana		2	29.55	Wakamiya et al.,1993
Pinus	sibirica		-	29.55	Zonneveld,2012
Pinus	bungeana		-	29.6	Joyner et al.,2001
Pinus	sabiniana		2	29.6	Wakamiya et al.,1993
Pinus	remota		-	29.85	Zonneveld,2011
Pinus	balfouriana		2	29.94	Grotkopp et al.,2004
Pinus	cembra		-	29.95	Zonneveld,2012
Pinus	monophylla		2	30.2	Wakamiya et al.,1993
Pinus	tropicalis		2	30.47	Grotkopp et al.,2004
Pinus	coulteri		2	30.63	Grotkopp et al.,2004
Pinus	monticola		-	30.65	Zonneveld,2012
Pinus	roxburghii		2	30.85	Zonneveld,2012
Pinus	merkusii		-	30.9	Zonneveld,2012
Pinus	flexilis	'Pendula'	2	31.2	Zonneveld,2012
Pinus	eldarica		2	31.35	Wakamiya et al.,1993
Pinus	cembroides	ssp. lagunae	-	31.6	Joyner et al.,2001
Pinus	maximartinezii		2	31.9	Grotkopp et al.,2004
Pinus	pinceana		2	31.98	Grotkopp et al.,2004
Pinus	canariensis		-	32.15	Zonneveld,2012
Pinus	nelsonii		2	32.2	Joyner et al.,2001
Pinus	chiapensis		2	32.27	Grotkopp et al.,2004
Pinus	armandii		2	32.32	Williams et al.,2002
Pinus	rzedowskii		2	32.82	Grotkopp et al.,2004
Pinus	johannis		2	32.92	Grotkopp et al.,2004
Pinus	edulis		2	32.93	Grotkopp et al.,2004
Pinus	heldreichii	var. leucodermis	2	33.49	Grotkopp et al.,2004
Pinus	cembroides	ssp. cembroides	2	33.88	Grotkopp et al.,2004
Pinus	strobiformis		2	35.36	Grotkopp et al.,2004
Pinus	gerardiana		2	35.85	Zonneveld,2012
Pinus	ayacahuite		2	36	Grotkopp et al.,2004
Pistacia	terebinthus	NA	-	0.57	Siljak-Yakovlev et al.,2010
Pistacia	lentiscus	NA	-	0.6	Siljak-Yakovlev et al.,2010
Pistacia	palaestina	NA	-	0.6	Bou Dagher-Kharrat et al.,2013
Pistacia	therebinthus	NA	-	0.68	Horjales et al.,2003
Pisum	elatius		2	4.4	Baranyi and Greilhuber,1996
Pisum	humile		2	4.4	Baranyi and Greilhuber,1996
Pisum	fulvum		2	4.7	Baranyi and Greilhuber,1996
Pisum	abyssinicum		2	4.7	Baranyi and Greilhuber,1996
Pisum	sativum	cv. Minerva Maple	2	4.9	Bennett and Smith,1976
Platycodon	grandiflorus	NA	-	0.6	Zhang et al.,2013
Pleurozium	schreberi	NA	-	0.76	Voglmayr,2010
Pohlia	wahlenbergii	NA	-	0.49	Bainard,2011
Pohlia	nutans	NA	-	0.76	Voglmayr,2010
Pontederia	cordata	NA	2	0.8	Kenton and Owens,1988
Populus	tremula		2	0.45	Siljak-Yakovlev et al.,2010
Populus	canescens		2	0.47	Siljak-Yakovlev et al.,2010
Populus	nigra		2	0.49	Pustahija et al.,2013
Populus	deltoides		-	0.49	Bai et al.,2012
Populus	trichocarpa	‘'Nisqually-1’	-	0.49	Tuskan et al.,2006
Populus	alba		-	0.52	Horjales et al.,2003
Populus	balsamifera	subsp. balsamifera	-	0.54	Bai et al.,2012
Populus	grandidentata		-	0.55	Bai et al.,2012
Populus	tremuloides		-	0.55	Bai et al.,2012
Primula	veris	subsp. columnae (Ten.) Ludi	2	0.49	Siljak-Yakovlev et al.,2010
Primula	vulgaris		2	0.5	Pustahija et al.,2013
Primula	meadia		-	2.75	Bai et al.,2012
Primulina	huaijiensis		2	0.56	Kang et al.,2014
Primulina	linearifolia		2	0.66	Kang et al.,2014
Primulina	luochengensis		2	0.66	Kang et al.,2014
Primulina	laxiflora		2	0.68	Kang et al.,2014
Primulina	ophiopogoides		2	0.69	Kang et al.,2014
Primulina	longgangensis		2	0.7	Kang et al.,2014
Primulina	heterotricha		2	0.7	Kang et al.,2014
Primulina	pteropoda		2	0.73	Kang et al.,2014
Primulina	parvifolia		2	0.74	Kang et al.,2014
Primulina	spinulosa		2	0.74	Kang et al.,2014
Primulina	longicalyx		-	0.75	Kang et al.,2014
Primulina	hedyotidea		2	0.79	Kang et al.,2014
Primulina	liguliformis		2	0.79	Kang et al.,2014
Primulina	swinglei		2	0.81	Kang et al.,2014
Primulina	wentsaii		2	0.82	Kang et al.,2014
Primulina	renifolia		-	0.83	Kang et al.,2014
Primulina	tiandengensis		2	0.86	Kang et al.,2014
Primulina	pseudoeburnea		2	0.86	Kang et al.,2014
Primulina	sclerophylla		2	0.87	Kang et al.,2014
Primulina	orthandra		2	0.88	Kang et al.,2014
Primulina	yangchunensis		2	0.88	Kang et al.,2014
Primulina	baishouensis		2	0.89	Kang et al.,2014
Primulina	bipinnatifida		2	0.9	Kang et al.,2014
Primulina	hochiensis		2	0.9	Kang et al.,2014
Primulina	eburnea		2	0.9	Kang et al.,2014
Primulina	verecunda		2	0.9	Kang et al.,2014
Primulina	macrodonta		2	0.9	Kang et al.,2014
Primulina	subulata		2	0.9	Kang et al.,2014
Primulina	langshanica		2	0.9	Kang et al.,2014
Primulina	tabacum		2	0.91	Kang et al.,2014
Primulina	pulchurfolia		2	0.93	Kang et al.,2014
Primulina	dongguanica		2	0.94	Kang et al.,2014
Primulina	xizii		2	0.94	Kang et al.,2014
Primulina	chizhouensis		2	0.95	Kang et al.,2014
Primulina	bullata		2	0.95	Kang et al.,2014
Primulina	napoensis		2	0.95	Kang et al.,2014
Primulina	leiophylla		2	0.96	Kang et al.,2014
Primulina	lobulata		2	0.97	Kang et al.,2014
Primulina	ronganensis		2	0.97	Kang et al.,2014
Primulina	nandanensis		2	0.97	Kang et al.,2014
Primulina	rongshuiensis		2	0.98	Kang et al.,2014
Primulina	qingyuanensis		2	0.99	Kang et al.,2014
Primulina	fimbrisepala		2	0.99	Kang et al.,2014
Primulina	bicolor		2	0.99	Kang et al.,2014
Primulina	liboensis		2	0.99	Kang et al.,2014
Primulina	subrhomboidea	var. tribracteata	2	0.99	Kang et al.,2014
Primulina	cordifolia		2	1.01	Kang et al.,2014
Primulina	roseoalba		2	1.02	Kang et al.,2014
Primulina	villosissima		2	1.02	Kang et al.,2014
Primulina	cordata		2	1.02	Kang et al.,2014
Primulina	yungfuensis		2	1.03	Kang et al.,2014
Primulina	repanda	var. guilinensis (W.T.Wang) Mich.Möller & A.Weber	2	1.03	Kang et al.,2014
Primulina	longii		2	1.03	Kang et al.,2014
Primulina	depressa		2	1.04	Kang et al.,2014
Primulina	shouchengensis		2	1.04	Kang et al.,2014
Primulina	leprosa		-	1.04	Kang et al.,2014
Primulina	tenuifolia		2	1.05	Kang et al.,2014
Primulina	lunglinensis		2	1.06	Kang et al.,2014
Primulina	tribracteata		2	1.07	Kang et al.,2014
Primulina	glandulosa		2	1.07	Kang et al.,2014
Primulina	cavicola		-	1.07	Kang et al.,2014
Primulina	longistyla		2	1.08	Kang et al.,2014
Primulina	mollifolia		2	1.09	Kang et al.,2014
Primulina	liujiangensis		2	1.13	Kang et al.,2014
Primulina	lutea		2	1.13	Kang et al.,2014
Primulina	moii		-	1.13	Kang et al.,2014
Primulina	sinensis		2	1.14	Kang et al.,2014
Primulina	latinervis		2	1.14	Kang et al.,2014
Primulina	pinnatifida		2	1.14	Kang et al.,2014
Primulina	obtusidentata		2	1.14	Kang et al.,2014
Primulina	mabaensis		2	1.15	Kang et al.,2014
Primulina	danxiaensis		2	1.18	Kang et al.,2014
Primulina	xiuningensis		2	1.2	Kang et al.,2014
Primulina	juliae		2	1.26	Kang et al.,2014
Primulina	yongxingensis		2	1.27	Kang et al.,2014
Primulina	gueilinensis	var. brachycarpa	2	1.27	Kang et al.,2014
Prosopis	flexusa	NA	2	0.4	Bukhari,1997
Prosopis	pallida	NA	2	0.4	Bukhari,1997
Prosopis	chilensis	NA	2	0.4	Bukhari,1997
Prosopis	lampa	NA	2	0.4	Bukhari,1997
Prosopis	juliflora	NA	2	0.4	Bukhari,1997
Prosopis	glandulosa	NA	2	0.4	Bukhari,1997
Prosopis	alba	NA	2	0.4	Bukhari,1997
Prosopis	velutina	NA	-	0.43	Sliwinska et al.,2009
Prosopis	siliquas	NA	2	0.5	Bukhari,1997
Prosopis	chilensis	NA	4	0.9	Bukhari,1997
Prosopis	cineraria	NA	-	1.28	Ohri,2002
Prosopis	juliflora	NA	4	1.7	Ohri,1996
Prunus	persica	cv. Red Haven	2	0.3	Dickson et al.,1992
Prunus	tomentosa		2	0.29	Baird et al.,1994
Prunus	americana cf.		-	0.29	Sonnier,2016
Prunus	pumila		-	0.3	Sonnier,2016
Prunus	kansuensis		2	0.3	Baird et al.,1994
Prunus	hortulana		2	0.3	Baird et al.,1994
Prunus	armeniaca		2	0.31	Arumuganathan and Earle,1991
Prunus	subhirtella	autoumno rosa	2	0.31	Maghuly et al.,2010
Prunus	angustifolia		2	0.31	Baird et al.,1994
Prunus	davidiana		2	0.31	Baird et al.,1994
Prunus	pensylvanica		-	0.31	Sonnier,2016
Prunus	cistena		2	0.32	Baird et al.,1994
Prunus	dulcis		2	0.33	Baird et al.,1994
Prunus	mira		2	0.33	Baird et al.,1994
Prunus	domestica		-	0.33	Loureiro et al.,2007
Prunus	besseyi		2	0.34	Baird et al.,1994
Prunus	mahaleb		2	0.35	Siljak-Yakovlev et al.,2010
Prunus	fenzliana		2	0.38	Baird et al.,1994
Prunus	webbii		2	0.39	Baird et al.,1994
Prunus	avium		-	0.43	Pustahija et al.,2013
Prunus	serotina		4	0.5	Dickson et al.,1992
Prunus	prostrata		4	0.57	Siljak-Yakovlev et al.,2010
Prunus	incisa x serrula		4	0.61	Maghuly et al.,2010
Prunus	cerasus		4	0.62	Arumuganathan and Earle,1991
Prunus	virginiana		-	0.65	Bai et al.,2012
Prunus	spinosa		4	0.65	Siljak-Yakovlev et al.,2010
Prunus	domestica		6	0.92	Arumuganathan and Earle,1991
Prunus	padus		-	1.18	Horjales et al.,2003
Prunus	laurocerasus	(large form)	-	3.65	Zonneveld et al.,2005
Pseudotsuga	menziesii	NA	2	19.05	O'Brien et al.,1996
Pseudoturritis	turrita	NA	2	0.38	Lysák et al.,2009
Psidium	guajava	(red cultivar)	2	0.28	Ribeiro da Costa et al.,2008
Psidium	cattleianum		4	0.53	Ribeiro da Costa et al.,2008
Psidium	acutangulum		4	0.58	Ribeiro da Costa et al.,2008
Psidium	guineense		4	0.93	Marques et al.,2016
Puccinellia	stricta		2	1.78	Murray et al.,2005
Puccinellia	palustris		6	4.08	Dolenc Koce et al.,2008
Puccinellia	walkeri	subsp. chathamica	6	4.81	Murray et al.,2005
Pueraria	lobata	NA	2	1.1	Price,1999
Punica	granatum	NA	2	0.72	Ohri,2002
Puya	mirabilis	NA	-	0.44	Ebert & Till,1997
Puya	stenothyrsa	NA	-	0.47	Ebert & Till,1997
Puya	coerulea	NA	2	0.51	Gitai et al.,2014
Puya	raimondii	NA	2	0.57	Sgorbati et al.,2004
Pyramimonas	parkeae	NA	-	0.08	Kapraun,2007
Pyrus	elaeagrifolia	NA	2	0.58	Jedrzejczyk & Sliwinska,2010
Pyrus	piraster	NA	2	0.62	Pustahija et al.,2013
Pyrus	communis	NA	2	0.62	Pustahija et al.,2013
Pyrus	calleryana	NA	2	0.6	Dickson et al.,1992
Quercus	sessilis	NA	2	0.5	Olszewska and Osiecka,1984
Quercus	alba	NA	-	0.6	Bai et al.,2012
Quercus	velutina	NA	-	0.81	Bai et al.,2012
Quercus	pyrenaica	NA	-	0.84	Horjales et al.,2003
Quercus	frainetto	NA	2	0.9	Pustahija et al.,2013
Quercus	rubra	NA	-	0.9	Bai et al.,2012
Quercus	petraea	NA	2	0.91	Pustahija et al.,2013
Quercus	rex	NA	2	0.91	Chen et al.,2014
Quercus	variabilis	NA	2	0.92	Chen et al.,2014
Quercus	ellipsoidalis	NA	-	0.92	Sonnier,2016
Quercus	pubescens	NA	2	0.9	Favre and Brown,1996
Quercus	robur	NA	2	0.9	Favre and Brown,1996
Quercus	bicolor	NA	-	0.95	Sonnier,2016
Quercus	suber	NA	2	1	Zoldoš et al.,1998
Quercus	cerris	NA	2	1	Zoldoš et al.,1998
Quercus	macrocarpa	NA	-	0.95	Bai et al.,2012
Quercus	acutissima	NA	2	0.97	Chen et al.,2014
Quercus	kerrii	NA	2	0.97	Chen et al.,2014
Quercus	griffithii	NA	2	1	Chen et al.,2014
Quercus	ilex	NA	2	1	Zoldoš et al.,1998
Quercus	coccifera	NA	2	1	Zoldoš et al.,1998
Quercus	yiwuensis	NA	2	1.01	Chen et al.,2014
Quercus	glauca	NA	2	1.03	Chen et al.,2014
Quercus	hui	NA	2	1.05	Chen et al.,2014
Quercus	aliena	NA	2	1.05	Chen et al.,2014
Quercus	franchetti	NA	2	1.06	Chen et al.,2014
Quercus	semiserrata	NA	2	1.06	Chen et al.,2014
Quercus	glaucoides	NA	2	1.08	Chen et al.,2014
Quercus	austrochinchinensis	NA	2	1.22	Chen et al.,2014
Quillaja	saponaria	NA	-	0.42	Garcia S. et al.,2010
Raphanus	sativus	cv. Saxa	2	0.6	Dolezel et al.,1992
Raphanus	sativus	cv. Tetra Ilowiecka	4	1.5	Olszewska and Osiecka,1983
Rhododendron	ponticum	var. brachycarpum Boiss.	2	0.74	Bou Dagher-Kharrat et al.,2013
Rhododendron	ponticum	var. brachycarpum Boiss.	2	0.74	Bou Dagher-Kharrat et al.,2013
Ricinus	communis	NA	-	0.52	Houben et al.,2003
Rosa	blanda		3	0.3	Bennett et al.,1976
Rosa	sericea	f. pteracantha	2	0.4	Yokoya et al.,2000
Rosa	xanthina	cv. 'Canary Bird'	2	0.4	Yokoya et al.,2000
Rosa	stellata	var. mirifica	2	0.4	Yokoya et al.,2000
Rosa	persica		2	0.4	Yokoya et al.,2000
Rosa	willmottiae		2	0.5	Yokoya et al.,2000
Rosa	nitida		2	0.5	Yokoya et al.,2000
Rosa	foliolosa		2	0.5	Yokoya et al.,2000
Rosa	roxburghii	var. hirtula	2	0.5	Yokoya et al.,2000
Rosa	iliensis		2	0.5	Yokoya et al.,2000
Rosa	rugosa	var. alba	2	0.5	Yokoya et al.,2000
Rosa	banksiae	var. lutea	2	0.5	Yokoya et al.,2000
Rosa	arvensis		2	0.6	Yokoya et al.,2000
Rosa	sempervirens		2	0.6	Yokoya et al.,2000
Rosa	laevigata		2	0.6	Yokoya et al.,2000
Rosa	chinensis		2	0.6	Yokoya et al.,2000
Rosa	wichuraiana		2	0.6	Yokoya et al.,2000
Rosa	x hybrida	cv. 'Ballerina' (Polyantha class)	2	0.59	Yokoya et al.,2000
Rosa	bracteata		2	0.6	Yokoya et al.,2000
Rosa	acicularis		6	0.7	Bennett et al.,1976
Rosa	multiflora		-	0.8	Dickson et al.,1992
Rosa	x hybrida	cv. 'Frensham' (Floribunda class)	3	0.9	Yokoya et al.,2000
Rosa	spinosissima	var. hispida	4	0.9	Yokoya et al.,2000
Rosa	pendulina		4	0.93	Siljak-Yakovlev et al.,2010
Rosa	latibracteata		4	1	Yokoya et al.,2000
Rosa	foetida		4	1	Yokoya et al.,2000
Rosa	fedtschenkoana		4	1	Yokoya et al.,2000
Rosa	virginiana		4	1	Yokoya et al.,2000
Rosa	bella		4	1	Yokoya et al.,2000
Rosa	damascena	var. versicolor	4	1.1	Yokoya et al.,2000
Rosa	gallica	var. officinalis	4	1.1	Yokoya et al.,2000
Rosa	centifolia		4	1.1	Yokoya et al.,2000
Rosa	x hybrida	cv. 'Mountbatten' (Floribunda class)	4	1.15	Yokoya et al.,2000
Rosa	carolina		-	1.17	Bai et al.,2012
Rosa	canina	agg.	5	1.4	Greilhuber,1988
Rosa	moyesii		6	1.4	Yokoya et al.,2000
Ruellia	humilis	NA	-	1.07	Bai et al.,2012
Saccharum	spontaneum		8	3.2	D’Hont,1999
Saccharum	barberi		-	3.27	Arumuganathan and Earle,1991
Saccharum	robustum	(NG 57-12)	6	3.8	Bennett and Smith,1976
Saccharum	officinarum		8	3.8	D’Hont,1999
Saccharum	robustum	(NG 57-55)	8	4.3	Bennett and Smith,1976
Saccharum	sinense		-	4.34	Arumuganathan and Earle,1991
Saccharum	spontaneum	(SUK)	-	6.3	Bennett and Smith,1976
Salix	elegantissima	NA	-	0.4	Olszewska and Osiecka,1984
Salix	amygdaloides	NA	-	0.36	Bai et al.,2012
Salix	triandra	NA	2	0.4	Thibault,1998
Salix	nigra	NA	-	0.41	Bai et al.,2012
Salix	viminalis	NA	2	0.41	Thibault,1998
Salix	caprea	NA	2	0.4	Mowforth and Grime,1989
Salix	purpurea	NA	2	0.43	Pustahija et al.,2013
Salix	elaeagnos	NA	2	0.44	Pustahija et al.,2013
Salix	pyrenaica	NA	2	0.48	Thibault,1998
Salix	babylonica	NA	-	0.77	Horjales et al.,2003
Salix	viminalis	NA	4	0.81	Thibault,1998
Salix	atrocinerea	NA	4	0.82	Thibault,1998
Salix	alba	NA	4	0.83	Thibault,1998
Salix	cinerea	NA	4	0.85	Thibault,1998
Salix	fragilis	NA	4	0.86	Thibault,1998
Salvia	broussonetii		2	0.43	Suda et al.,2003
Salvia	viridis		-	0.43	Bou Dagher-Kharrat et al.,2013
Salvia	pratensis		2	0.46	Münzbergová,2009
Salvia	brachyodon		2	0.48	Maksimovic et al.,2007
Salvia	officinalis		2	0.49	Maksimovic et al.,2007
Salvia	canariensis		2	0.5	Suda et al.,2005
Salvia	nemorosa		2	0.55	Siljak-Yakovlev et al.,2010
Salvia	sclarea		-	0.58	Siljak-Yakovlev et al.,2010
Salvia	ringens	var. baldacciana Briq. det. J.Bornmüller	-	0.61	Siljak-Yakovlev et al.,2010
Salvia	microstegia		-	0.63	Bou Dagher-Kharrat et al.,2013
Salvia	verticillata		2	0.69	Münzbergová,2009
Salvia	bracteata		-	0.72	Bou Dagher-Kharrat et al.,2013
Salvia	fruticosa	var. libanotica Mill.	-	0.84	Bou Dagher-Kharrat et al.,2013
Salvia	splendens	cv. Sello	4	0.9	Olszewska and Osiecka,1983
Salvia	glutinosa		2	1.07	Temsch et al.,2010
Salvia	multicaulis	var. simplicifolia Boiss.	-	1.13	Bou Dagher-Kharrat et al.,2013
Salvia	viscosa		-	1.13	Bou Dagher-Kharrat et al.,2013
Salvia	miltiorrhiza		-	2.05	Zhang et al.,2013
Santalum	album	NA	-	0.29	Ohri,2002
Sarracenia	purpurea	NA	-	3.5	Bai et al.,2012
Sarracenia	flava	NA	-	4.35	Hanson et al.,2005
Scutellaria	brevibracteata	NA	-	0.37	Bou Dagher-Kharrat et al.,2013
Scutellaria	altissima	NA	4	0.4	Kubešová et al.,2010
Scutellaria	viscidula	NA	-	0.44	Zhang et al.,2013
Scutellaria	baicalensis	NA	-	0.58	Zhang et al.,2013
Scutellaria	lateriflora	NA	-	1.12	Bai et al.,2012
Secale	fragile	(S. silvestre Host. PBI 52)	2	7.2	Bennett and Smith,1976
Secale	africanum		2	7.4	Bennett and Smith,1976
Secale	montanum	subsp. montanum PBI 15	2	8.2	Bennett and Smith,1976
Secale	vavilovii	PBI 11	2	8.2	Bennett and Smith,1976
Secale	cereale	cv. Petkus Spring	2	8.8	Bennett and Smith,1976
Sedum	album		2	0.15	Hart,1991
Sedum	obtusifolium		2	0.21	Hart,1991
Sedum	stellatum		2	0.3	Hart et al.,1993
Sedum	aizoon		-	0.31	Zhang et al.,2013
Sedum	stoloniferum		2	0.32	Hart et al.,1993
Sedum	melanantherum		2	0.32	Loureiro et al.,2013
Sedum	ochroleucum		2	0.46	Hart,1991
Sedum	forsterianum		2	0.46	Hart,1991
Sedum	montanum		2	0.53	Hart,1991
Sedum	sediforme		2	0.58	Hart,1991
Sedum	burrito		-	0.65	Loureiro et al.,2006
Sedum	atratum		2	0.67	Loureiro et al.,2013
Sedum	urvillei		-	0.75	Pustahija et al.,2013
Sedum	acre		-	0.76	Pustahija et al.,2013
Sedum	obtusifolium		5	0.85	Hart et al.,1993
Sedum	rupestre	subsp. erectum	4	1.04	Hart,1991
Sedum	maximum		-	1.12	Pustahija et al.,2013
Sedum	spurium		4	1.77	Hart et al.,1993
Sedum	spectabile		-	1.86	Zhang et al.,2013
Sedum	hispanicum		-	2.7	Kubešová et al.,2010
Sedum	spurium		6	2.82	Hart et al.,1993
Sedum	suaveolens		-	9.1	Zonneveld et al.,2005
Selaginella	selaginoides		2	0.08	Baniaga et al.,2016
Selaginella	underwoodii		2	0.08	Baniaga et al.,2016
Selaginella	apoda		2	0.09	Little et al.,2007
Selaginella	vogelii (?)		-	0.09	Little et al.,2007
Selaginella	pallescens		2	0.09	Little et al.,2007
Selaginella	moellendorffii		2	0.09	Little et al.,2007
Selaginella	involvens		2	0.09	Little et al.,2007
Selaginella	eremophila		2	0.09	Baniaga et al.,2016
Selaginella	uncinata		2	0.09	Little et al.,2007
Selaginella	arizonica		2	0.09	Baniaga et al.,2016
Selaginella	willdenowii		2	0.09	Baniaga et al.,2016
Selaginella	arenicola		2	0.1	Baniaga et al.,2016
Selaginella	asprella		2	0.1	Baniaga et al.,2016
Selaginella	martensii		2	0.1	Baniaga et al.,2016
Selaginella	braunii		2	0.1	Little et al.,2007
Selaginella	rupestris		2	0.11	Baniaga et al.,2016
Selaginella	landii		2	0.11	Baniaga et al.,2016
Selaginella	exaltata		2	0.11	Baniaga et al.,2016
Selaginella	hansenii		2	0.11	Baniaga et al.,2016
Selaginella	pilifera		2	0.11	Baniaga et al.,2016
Selaginella	wrightii		2	0.11	Baniaga et al.,2016
Selaginella	tortipila		2	0.12	Baniaga et al.,2016
